KBudget,Strategy,SeedIndex,SynthesisSeed,Classification,SynthesisSuccess,Gamma,SDPRounds,MaxViolationStage1,MaxViolationFinal,VSur,VCert,OutputLMISignedViolation,IncrementLMISignedViolation,NViolated,Polished,MonteCarloSuccessPct,RMSE95
16,Random+ICE,3,3138,near_surrogate,True,4.377082956592027,4,0.0001028696766053227,0.0001026141653871617,0.0001026141653871617,0.0001026141653871617,-2.657087376358466e-06,-0.0010947604353085138,32,True,100.0,0.3752946409992604
16,Random+ICE,4,4138,surrogate_pass,True,4.39349019461383,4,2.7961509666895648e-05,2.7961509666895648e-05,2.7961509666895648e-05,2.7961509666895648e-05,-6.19857974834332e-05,-0.0010804411474087474,0,False,89.60000000000001,0.3556544144325778
16,TopK+ICE,0,138,failed,False,3.8506812053799777,4,0.02235655602964222,0.02235655602964222,0.02235655602964222,0.02235655602964222,-3.227508349946149e-05,-0.0009977088469159295,96,False,0.0,9999.9
16,TopK+ICE,1,1138,failed,False,3.8506812053799777,4,0.02235655602964222,0.02235655602964222,0.02235655602964222,0.02235655602964222,-3.227508349946149e-05,-0.0009977088469159295,96,False,0.0,9999.9
16,TopK+ICE,2,2138,failed,False,3.8506812053799777,4,0.02235655602964222,0.02235655602964222,0.02235655602964222,0.02235655602964222,-3.227508349946149e-05,-0.0009977088469159295,96,False,0.0,9999.9
16,TopK+ICE,3,3138,failed,False,3.8506812053799777,4,0.02235655602964222,0.02235655602964222,0.02235655602964222,0.02235655602964222,-3.227508349946149e-05,-0.0009977088469159295,96,False,0.0,9999.9
16,TopK+ICE,4,4138,failed,False,3.8506812053799777,4,0.02235655602964222,0.02235655602964222,0.02235655602964222,0.02235655602964222,-3.227508349946149e-05,-0.0009977088469159295,96,False,0.0,9999.9
16,FPS-Param+ICE,0,138,surrogate_pass,True,4.400659411680793,2,2.7052970026507393e-05,2.7052970026507393e-05,2.7052970026507393e-05,2.7052970026507393e-05,-5.593465826932071e-05,-0.0010758914314711611,0,False,96.0,0.3626071241538085
16,FPS-Param+ICE,1,1138,surrogate_pass,True,4.370235406787667,2,3.5394700876820957e-05,3.5394700876820957e-05,3.5394700876820957e-05,3.5394700876820957e-05,-2.1085052825664265e-05,-0.0011041646020289887,0,False,93.8,0.3601363302407088
16,FPS-Param+ICE,2,2138,surrogate_pass,True,4.364092213869466,2,3.62465331446796e-05,3.62465331446796e-05,3.62465331446796e-05,3.62465331446796e-05,-0.0002300226360854323,-0.0011078844672146003,0,False,84.39999999999999,0.35605553066613493
